关键词,词频,词频占比,词性,情感,显示
华为,1587438,0.11406795582742595,nz,中性,1
 ,604925,0.043467876023445096,null,中性,1
nova,418192,0.03004987066164657,en,中性,1
公司,407008,0.02924622603554216,n,中性,1
全球,396248,0.028473048623446,n,中性,1
​,375674,0.02699467017767775,null,中性,1
企业,356830,0.025640603713594105,n,中性,1
技术,344168,0.024730754978281692,n,中性,1
易烊千玺,307792,0.022116897957611625,n,中性,1
市场,282039,0.02026637398979449,n,中性,1
小米,244956,0.017601714326898405,n,中性,1
苹果,233147,0.01675315930278655,n,中性,1
代言人,228671,0.016431528996416436,n,中性,1
产品,212070,0.015238636968701908,n,中性,1
用户,196075,0.014089290062895396,n,中性,1
美国,183482,0.013184399435523004,ns,中性,1
芯片,182124,0.013086818122732428,n,中性,1
科技,178298,0.012811894630290059,n,中性,1
品牌,164229,0.011800943606983286,n,中性,1
unpredictable,157173,0.011293923177638445,en,中性,1
nothing,151862,0.010912292579530386,en,中性,1
发展,148245,0.010652387124181706,vn,中性,1
lose,144501,0.010383355875957912,en,中性,1
三星,141066,0.010136528328508998,ntc,中性,1
荣耀,140642,0.010106061114500749,a,中性,1
厂商,131760,0.009467830466337358,n,中性,1
问题,131590,0.009455614838079333,n,中性,1
领域,128385,0.00922531431709716,n,中性,1
行业,121131,0.008704066273663559,n,中性,1
设计,117071,0.008412328328207201,vn,中性,1
体验,114751,0.008245620930803568,vn,中性,1
智能,113520,0.008157165410888106,n,中性,1
iphone,110861,0.007966098613605236,en,中性,1
采用,108994,0.007831942272677398,v,中性,1
国内,107916,0.007754480818194158,s,中性,1
oppo,107231,0.007705259021977999,en,中性,1
研发,106573,0.007657977354955762,j,中性,1
应用,105674,0.007593378238461854,vn,中性,1
全新,103645,0.007447581122370487,b,正面,1
智能手机,102449,0.007361640584743442,nz,中性,1
方面,97218,0.006985758517580337,n,中性,1
工作,96504,0.006934452878896632,vn,中性,1
系列,96401,0.006927051645305006,q,中性,1
pro,93650,0.00672937403743544,en,中性,1
员工,92962,0.006679936671308845,n,中性,1
服务,92222,0.006626762760068031,vn,中性,1
国家,91636,0.006584654770896251,n,中性,1
系统,90976,0.00653722939060039,n,中性,1
时代,90907,0.006532271282660368,n,中性,1
麒麟,90869,0.006529540730461515,n,中性,1
业务,89881,0.006458546373291348,n,中性,1
合作,89124,0.006404150899224732,vn,中性,1
高通,89077,0.0064007736372945715,nr,中性,1
mate,88678,0.006372102839206619,en,中性,1
功能,88303,0.006345156600402153,n,中性,1
vivo,87346,0.006276389798973154,en,中性,1
学习,85981,0.006178305489724896,v,中性,1
中兴,83796,0.006021298738290872,v,中性,1
创新,82753,0.005946352266096048,v,正面,1
价格,82620,0.005936795333400064,n,中性,1
摄像头,82300,0.005913801209620252,n,中性,1
移动,81999,0.005892172361939868,vn,中性,1
产业,78556,0.005644769961396459,n,中性,1
股权,78319,0.005627739938472036,n,中性,1
网络,78016,0.005605967377518027,n,中性,1
实力派,77523,0.005570542055569755,n,中性,1
处理器,75290,0.005410086185568759,n,中性,1
发布会,74501,0.005353391299124161,n,中性,1
游戏,74491,0.005352672732756042,n,中性,1
模式,71404,0.005130851294917673,n,中性,1
平台,71253,0.005120000942759075,n,中性,1
销量,69621,0.005002730911482037,n,中性,1
设备,68960,0.004955233674549363,n,中性,1
携手,68034,0.004888694428861535,v,中性,1
人工智能,67884,0.0048779159333397475,n,中性,1
屏幕,67842,0.004874897954593648,n,中性,1
拍照,67308,0.004836526510536087,v,中性,1
玺,65036,0.004673268231699426,ng,中性,1
管理,64787,0.004655375929133261,vn,中性,1
能力,63898,0.004591495379007471,n,中性,1
消费者,63824,0.00458617798788339,n,中性,1
全面,63371,0.004553626931407595,ad,正面,1
视频,62427,0.004485794266257151,n,中性,1
老板,62346,0.004479973878675386,n,中性,1
推出,61933,0.004450297087672067,v,中性,1
微信,61152,0.0043941770543219644,n,中性,1
互联网,60144,0.004321745564415559,n,中性,1
性能,59502,0.004275613603582312,n,中性,1
实现,58986,0.004238535578987366,v,中性,1
汽车,58199,0.004181984405816392,n,中性,1
人才,57508,0.004132331469779362,n,正面,1
亿元,57178,0.004108618779631431,q,中性,1
turbo,56793,0.004080953974458846,en,中性,1
huawei,55921,0.004018294987158859,en,中性,1
骁,55902,0.004016929711059433,null,中性,1
硬件,55596,0.0039949415801949885,n,中性,1
颜值,55354,0.003977552274086507,n,中性,1
联想,55107,0.003959803684793964,nz,中性,1
首位,54625,0.003925168785850623,n,中性,1
少年,54399,0.003908929185931132,n,中性,1